actor,show,wikipedia link,terminal school,school (2),relatives,film credits,tv credits,theater credits
Aaron Alcaraz,Here Lies Love,,,,,,,
Aaron C. Finley,Moulin Rouge! The Musical,,,,,,,
Aaron James McKenzie,"A Beautiful Noise, The Neil Diamond Musical",,,,,,,
Aaron Neil,Leopoldstadt,,,,,,,
Aaron Nicholas Patterson,"New York, New York",,,,,,,
Aaron Shuf,Leopoldstadt,,,,,,,
Abby Matsusaka,Some Like It Hot,,,,,,,
Abby Mueller,Six,,,,,,,
Adam Heller,Some Like It Hot,,,,,,,
Adam Kaokept,Aladdin,,,,,,,
Adeola Role,"Harry Potter and the Cursed Child, Parts One and Two",,,,,,,
Adi Dixit,Life of Pi,,,,,,,
Adrianna Mitchell,Fat Ham,,,,,,,
Afra Hines,Funny Girl,,-,,,,,25
Afra Hines,Hadestown,,-,,,,,25
Ahmad Simmons,Hadestown,,,,,,,
Aisha Jackson,Once Upon a One More Time,,,,,,,
Akina Kitazawa,"New York, New York",,,,,,,
Alaina Vi Maderal,& Juliet,,,,,,,
Alan Wiggins,Shucked,,,,,,,
Alanna Saunders,"Harry Potter and the Cursed Child, Parts One and Two",,,,,,,
Alberto Cruz Jr.,The Lion King,,,,,,,
Aleks Pevec,Aladdin,,,,,,,
Alex Hairston,"A Beautiful Noise, The Neil Diamond Musical",,,,,,,
Alex Joseph Grayson,Parade,,,,,,,
Alex Prakken,"New York, New York",,,,,,,
Alex Vinh,Kimberly Akimbo,,,,,,,
Alexandria Lewis,Fat Ham,,,,,,,
Aliah James,Funny Girl,,,,,,,
Alicia Kaori,Sweeney Todd,,,,,,,
Alicia Lundgren,Funny Girl,,,,,,,
Allison Blackwell,"New York, New York",,,,,,,
Alysha Deslorieux,Hamilton,,,,,,,
Alyssa Emily Marvin,Grey House,,,,,,,
Amber Ardolino,Funny Girl,,-,,,,,7
Amber Ardolino,Moulin Rouge! The Musical,,-,,,,,7
Amber Owens,Some Like It Hot,,,,,,,
Amy Hillner Larsen,Once Upon a One More Time,,,,,,,
Andrew Cao,Aladdin,,,,,,,
Andrew Chappelle,Hamilton,,,,,,,
Andrew Durand,Shucked,,,,,,,
Andrew Long,"Harry Potter and the Cursed Child, Parts One and Two",,,,,,,
Andrew Palermo,Wicked,,,,,,,
Andrew Wilson,Life of Pi,,,,,,,
Andy Grotelueschen,The Sign in Sidney Brustein's Window,,,,,,,
Andy Pellick,Wicked,,,,,,,
Angel Sigala,"New York, New York",,,,,,,
Angela Reed,"Harry Potter and the Cursed Child, Parts One and Two",,,,,,,
Angelo Soriano,Here Lies Love,,,,,,,
Ann Sanders,Camelot,,,,,,,
Anna Uzele,"New York, New York",,Texas State University,,,,,5
Anna Uzele,Six,,Texas State University,,,,,5
Anthony Michael Lopez,Camelot,,,,,,,
Anthony Rosenthal,Leopoldstadt,,,,,,,
Antoine L. Smith,MJ The Musical,,,,,,,
Apollo Levine,MJ The Musical,,,,,,,
Aramie Payton,MJ The Musical,,,,,,,
Ariel Reid,Aladdin,,,,,,,
Arty Froushan,Leopoldstadt,,,,,,,
Ashi K. Smythe,The Lion King,,,,,,,
Ashley Blair Fitzgerald,"New York, New York",,,,,,,
